Parameter,Value
Start Frequency,10.0
End Frequency,100.0
Frequency Duration,1.0
Smooth Transition,True
Pause Duration,1.0
Amplitude,0.85
Frequency Step,10.0
Total Duration,10.0
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.1
Amplitude End,0.2
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
148321,2025-04-09 15:28:23.603,-0.34615,23.91
148801,2025-04-09 15:28:23.608,0.59161,23.95
149281,2025-04-09 15:28:23.613,0.78581,24.0
149761,2025-04-09 15:28:23.618,-0.01294,24.04
150241,2025-04-09 15:28:23.623,-0.79616,24.09
150721,2025-04-09 15:28:23.628,-0.56562,24.13
151201,2025-04-09 15:28:23.633,0.38897,24.18
151681,2025-04-09 15:28:23.638,0.84479,24.22
152161,2025-04-09 15:28:23.643,0.21114,24.27
152641,2025-04-09 15:28:23.648,-0.69673,24.31
153121,2025-04-09 15:28:23.653,-0.69925,24.36
153601,2025-04-09 15:28:23.658,0.21151,24.4
154081,2025-04-09 15:28:23.663,0.84584,24.45
154561,2025-04-09 15:28:23.668,0.3671,24.49
155041,2025-04-09 15:28:23.673,-0.59744,24.54
155521,2025-04-09 15:28:23.678,-0.76995,24.58
156001,2025-04-09 15:28:23.683,0.08345,24.63
156481,2025-04-09 15:28:23.688,0.82604,24.67
156961,2025-04-09 15:28:23.693,0.45973,24.72
157441,2025-04-09 15:28:23.698,-0.52696,24.76
157921,2025-04-09 15:28:23.703,-0.8011,24.81
158401,2025-04-09 15:28:23.708,0.01349,24.85
158881,2025-04-09 15:28:23.713,0.81044,24.9
159361,2025-04-09 15:28:23.718,0.49778,24.94
159841,2025-04-09 15:28:23.723,-0.49984,24.99
160321,2025-04-09 15:28:23.728,-0.80819,25.03
160801,2025-04-09 15:28:23.733,0.00348,25.08
161281,2025-04-09 15:28:23.738,0.81104,25.12
161761,2025-04-09 15:28:23.743,0.48634,25.17
162241,2025-04-09 15:28:23.748,-0.52066,25.21
162721,2025-04-09 15:28:23.753,-0.79559,25.26
163201,2025-04-09 15:28:23.758,0.05352,25.3
163681,2025-04-09 15:28:23.763,0.82744,25.35
164161,2025-04-09 15:28:23.768,0.42379,25.39
164641,2025-04-09 15:28:23.773,-0.58595,25.44
165121,2025-04-09 15:28:23.778,-0.75583,25.48
165601,2025-04-09 15:28:23.783,0.1627,25.53
166081,2025-04-09 15:28:23.788,0.84677,25.57
166561,2025-04-09 15:28:23.793,0.30268,25.62
167041,2025-04-09 15:28:23.798,-0.6827,25.66
167521,2025-04-09 15:28:23.803,-0.6708,25.71
168001,2025-04-09 15:28:23.808,0.32542,25.75
168481,2025-04-09 15:28:23.813,0.84313,25.8
