Sample Number,Timestamp,Temperature (°C),Pressure (hPa),Humidity (%)
136,2025-04-09 16:44:32.251,24.959,947.49,35.43
140,2025-04-09 16:44:32.253,25.007,1002.95,35.43
141,2025-04-09 16:44:32.521,24.927,916.72,35.44
137,2025-04-09 16:44:32.523,24.954,1002.94,35.44
142,2025-04-09 16:44:32.726,-31.482,1002.91,35.22
138,2025-04-09 16:44:32.728,24.975,632.98,35.22
143,2025-04-09 16:44:32.857,-19.045,631.58,35.39
139,2025-04-09 16:44:32.858,-28.259,907.05,35.39
140,2025-04-09 16:44:33.053,25.055,635.07,35.42
144,2025-04-09 16:44:33.055,25.055,907.03,35.42
141,2025-04-09 16:44:33.206,-15.974,635.07,35.41
145,2025-04-09 16:44:33.207,-28.259,907.03,35.41
142,2025-04-09 16:44:33.452,24.913,1002.94,35.4
146,2025-04-09 16:44:33.531,24.951,1002.97,35.33
143,2025-04-09 16:44:33.687,24.971,917.14,35.39
147,2025-04-09 16:44:33.689,24.988,1002.93,35.39
148,2025-04-09 16:44:33.878,24.942,1002.94,35.4
144,2025-04-09 16:44:33.926,24.999,1002.93,35.18
149,2025-04-09 16:44:34.093,25.031,1552.3,35.17
145,2025-04-09 16:44:34.094,25.009,1002.95,35.17
146,2025-04-09 16:44:34.254,25.043,527.69,35.39
150,2025-04-09 16:44:34.256,-127.28,948.19,35.39
151,2025-04-09 16:44:34.458,-28.871,620.5,35.39
147,2025-04-09 16:44:34.460,-28.259,907.1,35.39
148,2025-04-09 16:44:34.658,-19.045,631.58,35.4
152,2025-04-09 16:44:34.660,-28.259,907.05,35.4
149,2025-04-09 16:44:34.853,25.057,516.77,35.4
153,2025-04-09 16:44:34.855,25.057,948.13,35.4
154,2025-04-09 16:44:35.007,25.036,1002.95,35.38
150,2025-04-09 16:44:35.094,24.954,1002.97,35.34
151,2025-04-09 16:44:35.259,-33.17,615.7,35.39
155,2025-04-09 16:44:35.260,-28.259,907.12,35.39
156,2025-04-09 16:44:35.495,-6.817,1002.95,35.17
152,2025-04-09 16:44:35.496,25.028,516.84,35.17
153,2025-04-09 16:44:35.657,25.043,624.64,35.38
157,2025-04-09 16:44:35.658,24.992,907.08,35.38
154,2025-04-09 16:44:35.856,-28.257,621.19,35.38
158,2025-04-09 16:44:35.858,-28.259,907.09,35.38
155,2025-04-09 16:44:36.053,25.043,904.99,35.36
159,2025-04-09 16:44:36.096,25.023,1002.89,35.15
160,2025-04-09 16:44:36.258,-25.186,624.64,35.36
156,2025-04-09 16:44:36.259,-28.259,907.07,35.36
