Parameter,Value
Start Frequency,10
End Frequency,150
Frequency Duration,1
Smooth Transition,False
Pause Duration,0.5
Amplitude,0.2
Frequency Step,5
Total Duration,10
Gradual Amplitude Increase,False
Amplitude Rise Time,0.5
Amplitude Start,0.05
Amplitude End,0.5
Sample Rate,96000

Sample Number,Timestamp,Sine value,Frequency (Hz)
148801,2025-04-08 22:18:13.069,0.2,15
149281,2025-04-08 22:18:13.074,0.1782,15
149761,2025-04-08 22:18:13.079,0.11756,15
150241,2025-04-08 22:18:13.084,0.03129,15
150721,2025-04-08 22:18:13.089,-0.0618,15
151201,2025-04-08 22:18:13.094,-0.14142,15
151681,2025-04-08 22:18:13.099,-0.19021,15
152161,2025-04-08 22:18:13.104,-0.19754,15
152641,2025-04-08 22:18:13.109,-0.1618,15
153121,2025-04-08 22:18:13.114,-0.0908,15
153601,2025-04-08 22:18:13.119,-0.0,15
154081,2025-04-08 22:18:13.124,0.0908,15
154561,2025-04-08 22:18:13.129,0.1618,15
155041,2025-04-08 22:18:13.134,0.19754,15
155521,2025-04-08 22:18:13.139,0.19021,15
156001,2025-04-08 22:18:13.144,0.14142,15
156481,2025-04-08 22:18:13.149,0.0618,15
156961,2025-04-08 22:18:13.154,-0.03129,15
157441,2025-04-08 22:18:13.159,-0.11756,15
157921,2025-04-08 22:18:13.164,-0.1782,15
158401,2025-04-08 22:18:13.169,-0.2,15
158881,2025-04-08 22:18:13.174,-0.1782,15
159361,2025-04-08 22:18:13.179,-0.11756,15
159841,2025-04-08 22:18:13.184,-0.03129,15
160321,2025-04-08 22:18:13.189,0.0618,15
160801,2025-04-08 22:18:13.194,0.14142,15
161281,2025-04-08 22:18:13.199,0.19021,15
161761,2025-04-08 22:18:13.204,0.19754,15
162241,2025-04-08 22:18:13.209,0.1618,15
162721,2025-04-08 22:18:13.214,0.0908,15
163201,2025-04-08 22:18:13.219,0.0,15
163681,2025-04-08 22:18:13.224,-0.0908,15
164161,2025-04-08 22:18:13.229,-0.1618,15
164641,2025-04-08 22:18:13.234,-0.19754,15
165121,2025-04-08 22:18:13.239,-0.19021,15
165601,2025-04-08 22:18:13.244,-0.14142,15
166081,2025-04-08 22:18:13.249,-0.0618,15
166561,2025-04-08 22:18:13.254,0.03129,15
167041,2025-04-08 22:18:13.259,0.11756,15
167521,2025-04-08 22:18:13.264,0.1782,15
168001,2025-04-08 22:18:13.269,0.2,15
168481,2025-04-08 22:18:13.274,0.1782,15
168961,2025-04-08 22:18:13.279,0.11756,15
169441,2025-04-08 22:18:13.284,0.03129,15
169921,2025-04-08 22:18:13.289,-0.0618,15
170401,2025-04-08 22:18:13.294,-0.14142,15
170881,2025-04-08 22:18:13.299,-0.19021,15
171361,2025-04-08 22:18:13.304,-0.19754,15
171841,2025-04-08 22:18:13.309,-0.1618,15
172321,2025-04-08 22:18:13.314,-0.0908,15
172801,2025-04-08 22:18:13.319,-0.0,15
173281,2025-04-08 22:18:13.324,0.0908,15
173761,2025-04-08 22:18:13.329,0.1618,15
