Czas startu pomiaru,Częstotliwość [Hz],Czas trwania [s],Zakres [g],Skala divisor,Czas próbkowania [s]
2025-04-08 00:39:39.394536,50,10,16,1365,0.005
Minimalne przemieszczenie [mm],Maksymalne przemieszczenie [mm]
-258.84249084249024,227.60439560439622
Czas [UTC],Numer próbki,Droga [mm],Wartość sygnału audio
2025-04-08 00:39:51.610152,213,0.0,0.09985730400511657
2025-04-08 00:39:51.616300,214,0.0,0.09989281310649517
2025-04-08 00:39:51.622432,215,13.684981684982278,0.09992325282639969
2025-04-08 00:39:51.628550,216,0.0,0.09994862162006879
2025-04-08 00:39:51.634667,217,0.0,0.09996891820008164
2025-04-08 00:39:51.640833,218,0.0,0.0999841415364231
2025-04-08 00:39:51.646953,219,0.0,0.0999942908565361
2025-04-08 00:39:51.653071,220,0.0,0.09999936564536084
2025-04-08 00:39:51.659216,221,0.0,0.09999936564536084
2025-04-08 00:39:51.665302,222,0.0,0.0999942908565361
2025-04-08 00:39:51.671385,223,0.0,0.0999841415364231
2025-04-08 00:39:51.677465,224,0.0,0.09996891820008164
2025-04-08 00:39:51.683546,225,0.0,0.09994862162006879
2025-04-08 00:39:51.689624,226,0.0,0.09992325282639969
2025-04-08 00:39:51.695707,227,0.0,0.09989281310649517
2025-04-08 00:39:51.701788,228,0.0,0.09985730400511657
2025-04-08 00:39:51.707897,229,0.0,0.0998167273242872
2025-04-08 00:39:51.713983,230,0.0,0.09977108512320103
2025-04-08 00:39:51.720068,231,0.0,0.09972037971811802
2025-04-08 00:39:51.726171,232,0.0,0.09966461368224676
2025-04-08 00:39:51.732357,233,0.0,0.09960378984561374
2025-04-08 00:39:51.738448,234,0.0,0.09953791129491983
2025-04-08 00:39:51.744531,235,0.0,0.09946698137338354
2025-04-08 00:39:51.750616,236,0.0,0.09939100368057144
2025-04-08 00:39:51.756742,237,0.0,0.09930998207221546
2025-04-08 00:39:51.762875,238,0.0,0.09922392066001721
2025-04-08 00:39:51.768994,239,0.0,0.09913282381143933
2025-04-08 00:39:51.775109,240,0.0,0.09903669614948381
2025-04-08 00:39:51.781244,241,0.0,0.09893554255245747
2025-04-08 00:39:51.787359,242,0.0,0.09882936815372431
2025-04-08 00:39:51.793473,243,0.0,0.09871817834144503
2025-04-08 00:39:51.799585,244,0.0,0.09860197875830357
2025-04-08 00:39:51.805724,245,0.0,0.0984807753012208
2025-04-08 00:39:51.811861,246,0.0,0.09835457412105528
2025-04-08 00:39:51.818005,247,0.0,0.09822338162229097
2025-04-08 00:39:51.824128,248,0.0,0.09808720446271241
2025-04-08 00:39:51.830262,249,0.0,0.09794604955306668
2025-04-08 00:39:51.836382,250,0.0,0.09779992405671283
2025-04-08 00:39:51.842494,251,0.0,0.09764883538925823
2025-04-08 00:39:51.848603,252,0.0,0.09749279121818237
2025-04-08 00:39:51.854779,253,0.0,0.0973317994624476
2025-04-08 00:39:51.860911,254,0.0,0.0971658682920974
2025-04-08 00:39:51.867000,255,0.0,0.09699500612784169
2025-04-08 00:39:51.873085,256,0.0,0.09681922164062945
2025-04-08 00:39:51.879195,257,0.0,0.09663852375120882
2025-04-08 00:39:51.885277,258,0.0,0.09645292162967424
2025-04-08 00:39:51.891359,259,0.0,0.09626242469500122
2025-04-08 00:39:51.897439,260,0.0,0.0960670426145682
2025-04-08 00:39:51.903678,261,0.0,0.09586678530366607
2025-04-08 00:39:51.909841,262,0.0,0.09566166292499494
2025-04-08 00:39:51.915964,263,-15.619047619046977,0.0954516858881484
2025-04-08 00:39:51.922060,264,0.0,0.09523686484908522
2025-04-08 00:39:51.928145,265,0.0,0.09501721070958868
2025-04-08 00:39:51.934227,266,0.0,0.09479273461671317
2025-04-08 00:39:51.940315,267,0.0,0.09456344796221867
2025-04-08 00:39:51.946399,268,-12.688644688644057,0.09432936238199251
2025-04-08 00:39:51.952505,269,0.0,0.09409048975545886
2025-04-08 00:39:51.958604,270,0.0,0.09384684220497605
2025-04-08 00:39:51.964710,271,0.0,0.09359843209522112
2025-04-08 00:39:51.970830,272,16.615384615385253,0.09334527203256257
2025-04-08 00:39:51.976923,273,0.0,0.09308737486442042
2025-04-08 00:39:51.983014,274,0.0,0.09282475367861442
2025-04-08 00:39:51.989096,275,0.0,0.09255742180269966
2025-04-08 00:39:51.995212,276,0.0,0.09228539280329037
2025-04-08 00:39:52.001305,277,0.0,0.0920086804853714
2025-04-08 00:39:52.007404,278,0.0,0.0917272988915976
2025-04-08 00:39:52.013513,279,0.0,0.09144126230158126
2025-04-08 00:39:52.019629,280,0.0,0.09115058523116731
2025-04-08 00:39:52.025718,281,0.0,0.09085528243169688
2025-04-08 00:39:52.031812,282,0.0,0.09055536888925846
2025-04-08 00:39:52.037892,283,0.0,0.09025085982392751
2025-04-08 00:39:52.043972,284,0.0,0.08994177068899412
2025-04-08 00:39:52.050054,285,0.0,0.08962811717017867
2025-04-08 00:39:52.056341,286,0.0,0.08930991518483583
2025-04-08 00:39:52.062460,287,0.0,0.08898718088114686
2025-04-08 00:39:52.068586,288,0.0,0.0886599306373
2025-04-08 00:39:52.074920,289,0.0,0.08832818106065943
2025-04-08 00:39:52.081207,290,0.0,0.08799194898692236
2025-04-08 00:39:52.087388,291,0.0,0.08765125147926478
2025-04-08 00:39:52.093555,292,0.0,0.08730610582747535
2025-04-08 00:39:52.099733,293,0.0,0.08695652954707822
2025-04-08 00:39:52.105856,294,0.0,0.08660254037844385
2025-04-08 00:39:52.111970,295,0.0,0.08624415628588906
2025-04-08 00:39:52.118085,296,0.0,0.08588139545676506
2025-04-08 00:39:52.124200,297,0.0,0.08551427630053463
2025-04-08 00:39:52.130320,298,0.0,0.08514281744783789
2025-04-08 00:39:52.136434,299,0.0,0.08476703774954675
2025-04-08 00:39:52.142552,300,0.0,0.08438695627580835
2025-04-08 00:39:52.148670,301,0.0,0.08400259231507716
2025-04-08 00:39:52.155119,302,0.0,0.08361396537313627
2025-04-08 00:39:52.161301,303,0.0,0.08322109517210739
2025-04-08 00:39:52.167571,304,0.0,0.08282400164945004
2025-04-08 00:39:52.173894,305,0.0,0.08242270495694984
2025-04-08 00:39:52.179994,306,0.0,0.08201722545969559
2025-04-08 00:39:52.186085,307,0.0,0.08160758373504609
2025-04-08 00:39:52.192227,308,0.0,0.08119380057158565
2025-04-08 00:39:52.198349,309,0.0,0.08077589696806925
2025-04-08 00:39:52.204438,310,0.0,0.08035389413235673
2025-04-08 00:39:52.210601,311,0.0,0.07992781348033677
2025-04-08 00:39:52.216804,312,0.0,0.07949767663483977
2025-04-08 00:39:52.222997,313,0.0,0.07906350542454083
2025-04-08 00:39:52.229096,314,0.0,0.07862532188285173
2025-04-08 00:39:52.235249,315,0.0,0.078183148246803
2025-04-08 00:39:52.241347,316,0.0,0.07773700695591518
2025-04-08 00:39:52.247458,317,0.0,0.07728692065106031
2025-04-08 00:39:52.253554,318,-12.688644688644057,0.07683291217331278
2025-04-08 00:39:52.259674,319,0.0,0.07637500456279024
2025-04-08 00:39:52.265758,320,0.0,0.07591322105748433
2025-04-08 00:39:52.271841,321,0.0,0.07544758509208145
2025-04-08 00:39:52.277923,322,0.0,0.0749781202967734
2025-04-08 00:39:52.284006,323,0.0,0.07450485049605836
2025-04-08 00:39:52.290124,324,0.0,0.07402779970753155
2025-04-08 00:39:52.296217,325,0.0,0.07354699214066672
2025-04-08 00:39:52.302299,326,0.0,0.07306245219558725
2025-04-08 00:39:52.308379,327,0.0,0.0725742044618282
2025-04-08 00:39:52.314466,328,0.0,0.07208227371708813
2025-04-08 00:39:52.320554,329,0.0,0.07158668492597185
2025-04-08 00:39:52.326635,330,0.0,0.0710874632387235
2025-04-08 00:39:52.332717,331,0.0,0.07058463398995019
2025-04-08 00:39:52.338800,332,0.0,0.07007822269733635
2025-04-08 00:39:52.344884,333,10.754578754579358,0.06956825506034862
2025-04-08 00:39:52.350965,334,10.754578754579358,0.0690547569589319
2025-04-08 00:39:52.357039,335,0.0,0.0685377544521957
2025-04-08 00:39:52.363151,336,0.0,0.06801727377709194
2025-04-08 00:39:52.369272,337,0.0,0.06749334134708328
2025-04-08 00:39:52.375384,338,0.0,0.06696598375080279
2025-04-08 00:39:52.381509,339,0.0,0.06643522775070462
2025-04-08 00:39:52.387630,340,0.0,0.06590110028170577
2025-04-08 00:39:52.393770,341,0.0,0.06536362844981938
2025-04-08 00:39:52.400721,342,0.0,0.06482283953077884
2025-04-08 00:39:52.407380,343,0.0,0.06427876096865395
2025-04-08 00:39:52.414009,344,0.0,0.06373142037445786
2025-04-08 00:39:52.420471,345,0.0,0.06318084552474611
2025-04-08 00:39:52.427500,346,0.0,0.06262706436020694
2025-04-08 00:39:52.433748,347,0.0,0.06207010498424323
2025-04-08 00:39:52.440010,348,0.0,0.06150999566154639
2025-04-08 00:39:52.446220,349,0.0,0.06094676481666213
2025-04-08 00:39:52.452391,350,0.0,0.06038044103254774
2025-04-08 00:39:52.458549,351,0.0,0.05981105304912158
2025-04-08 00:39:52.464644,352,0.0,0.05923862976180477
2025-04-08 00:39:52.470758,353,0.0,0.058663200220054584
2025-04-08 00:39:52.476882,354,0.0,0.05808479362589029
2025-04-08 00:39:52.482985,355,0.0,0.057503439332411324
2025-04-08 00:39:52.489106,356,0.0,0.05691916684230757
2025-04-08 00:39:52.495196,357,0.0,0.05633200580636223
2025-04-08 00:39:52.501278,358,0.0,0.05574198602194679
2025-04-08 00:39:52.507358,359,0.0,0.05514913743150938
2025-04-08 00:39:52.513472,360,0.0,0.05455349012105484
2025-04-08 00:39:52.519568,361,0.0,0.05395507431861815
2025-04-08 00:39:52.525649,362,0.0,0.053353920392730084
2025-04-08 00:39:52.531727,363,0.0,0.05275005885087647
2025-04-08 00:39:52.537803,364,0.0,0.05214352033794978
2025-04-08 00:39:52.543888,365,0.0,0.051534335634693985
2025-04-08 00:39:52.549963,366,0.0,0.050922535656142326
2025-04-08 00:39:52.556053,367,0.0,0.05030815145004874
2025-04-08 00:39:52.562150,368,0.0,0.04969121419531209
2025-04-08 00:39:52.568281,369,0.0,0.049071755200393814
2025-04-08 00:39:52.574383,370,0.0,0.048449805901729134
2025-04-08 00:39:52.580486,371,0.0,0.04782539786213181
2025-04-08 00:39:52.586601,372,0.0,0.047198562769192313
2025-04-08 00:39:52.592720,373,13.684981684982278,0.04656933243366959
2025-04-08 00:39:52.598852,374,0.0,0.04593773878787705
2025-04-08 00:39:52.604961,375,0.0,0.04530381388406168
2025-04-08 00:39:52.611065,376,0.0,0.04466758989277783
2025-04-08 00:39:52.617200,377,-24.410256410255794,0.044029099101254215
2025-04-08 00:39:52.623327,378,-18.549450549449954,0.04338837391175578
2025-04-08 00:39:52.629449,379,0.0,0.04274544683993918
2025-04-08 00:39:52.635589,380,0.0,0.04210035051320241
2025-04-08 00:39:52.641698,381,0.0,0.04145311766902953
2025-04-08 00:39:52.647826,382,-12.688644688644057,0.040803781153328944
2025-04-08 00:39:52.653996,383,0.0,0.04015237391876669
2025-04-08 00:39:52.660149,384,0.0,0.039498929023093876
2025-04-08 00:39:52.666261,385,0.0,0.038843479627469465
2025-04-08 00:39:52.672364,386,0.0,0.038186058994777144
2025-04-08 00:39:52.678461,387,0.0,0.03752670048793745
2025-04-08 00:39:52.684706,388,0.0,0.03686543756821428
2025-04-08 00:39:52.690945,389,0.0,0.03620230379351736
2025-04-08 00:39:52.697060,390,0.0,0.03553733281669885
2025-04-08 00:39:52.703195,391,0.0,0.034870558383845694
2025-04-08 00:39:52.709299,392,0.0,0.03420201433256689
2025-04-08 00:39:52.715405,393,0.0,0.033531734590276426
2025-04-08 00:39:52.721650,394,0.0,0.032859753172471626
2025-04-08 00:39:52.727874,395,0.0,0.03218610418100661
2025-04-08 00:39:52.734014,396,-18.549450549449954,0.031510821802362046
2025-04-08 00:39:52.740132,397,0.0,0.03083394030591003
2025-04-08 00:39:52.746275,398,0.0,0.030155494042174977
2025-04-08 00:39:52.752358,399,0.0,0.02947551744109042
2025-04-08 00:39:52.758602,400,0.0,0.028794045010251863
2025-04-08 00:39:52.764842,401,0.0,0.028111111333165503
2025-04-08 00:39:52.770961,402,0.0,0.027426751067493062
2025-04-08 00:39:52.777069,403,0.0,0.0267409989432931
2025-04-08 00:39:52.783204,404,0.0,0.026053889761258588
2025-04-08 00:39:52.789298,405,0.0,0.025365458390950696
2025-04-08 00:39:52.795535,406,0.0,0.024675739769029384
2025-04-08 00:39:52.801764,407,0.0,0.023984768897480066
2025-04-08 00:39:52.807881,408,0.0,0.02329258084183784
2025-04-08 00:39:52.814021,409,0.0,0.02259921072940771
2025-04-08 00:39:52.820168,410,0.0,0.021904693747481704
2025-04-08 00:39:52.826304,411,0.0,0.02120906514155367
2025-04-08 00:39:52.832501,412,0.0,0.0205123602135303
2025-04-08 00:39:52.838739,413,0.0,0.019814614319939763
2025-04-08 00:39:52.844850,414,0.0,0.019115862870137255
2025-04-08 00:39:52.850962,415,0.0,0.018416141324508174
2025-04-08 00:39:52.857059,416,0.0,0.017715485192668617
2025-04-08 00:39:52.863164,417,0.0,0.017013930031663266
2025-04-08 00:39:52.869402,418,0.0,0.016311511444160792
2025-04-08 00:39:52.875623,419,0.0,0.015608265076647388
2025-04-08 00:39:52.881753,420,0.0,0.014904226617617429
2025-04-08 00:39:52.887858,421,0.0,0.014199431795762685
2025-04-08 00:39:52.893978,422,0.0,0.013493916378158817
2025-04-08 00:39:52.900095,423,-12.688644688644057,0.012787716168450564
